settlement_id,payment_id,order_ref,line_type,gross,fee,tax,net,instrument,settled_on,utr
STL0000023,,,payment,8169.49,163.39,29.41,7976.69,netbanking,2026-01-19,UTR202601190001
STL0000024,pay0000000018,ORD0000024,payment,9219.06,184.38,33.19,9001.49,card_debit,2026-01-28,UTR202601280001
STL0000025,pay0000000019,ORD0000025,payment,9934.48,198.69,35.76,9700.03,upi,2026-01-05,UTR202601050001
STL0000026,pay000000001a,ORD0000026,payment,5590.82,111.82,20.13,5458.87,netbanking,2026-01-28,UTR202601280001
STL0000027,pay000000001b,ORD0000027,payment,1736.48,34.73,6.25,1695.50,netbanking,2026-01-12,UTR202601120001
STL0000028,pay000000001c,ORD0000028,payment,9745.36,194.91,35.08,9515.37,netbanking,2026-01-20,UTR202601200001
STL0000029,pay000000001d,ORD0000029,payment,6819.46,136.39,24.55,6658.52,netbanking,2026-01-15,UTR202601150001
STL0000030,pay000000001e,ORD0000030,payment,2361.12,47.22,8.50,2305.40,wallet,2026-01-06,UTR202601060001
STL0000031,pay000000001f,ORD0000031,payment,2314.14,46.28,8.33,2259.53,upi,2026-01-04,UTR202601040001
STL0000032,pay0000000020,ORD0000032,payment,9499.01,189.98,34.20,9274.83,card_debit,2026-01-05,UTR202601050001
STL0000033,pay0000000021,ORD0000033,payment,5094.93,101.90,18.34,4974.69,wallet,2026-01-10,UTR202601100001
STL0000034,pay0000000022,ORD0000034,payment,8232.33,164.65,29.64,8038.04,upi,2026-01-17,UTR202601170001
STL0000035,pay0000000023,ORD0000035,payment,3720.07,74.40,13.39,3632.28,upi,2026-01-17,UTR202601170001
STL0000036,pay0000000024,ORD0000036,payment,6780.68,135.61,24.41,6620.66,card_credit,2026-01-07,UTR202601070001
STL0000037,pay0000000025,ORD0000037,payment,1150.76,23.02,4.14,1123.60,netbanking,2026-01-11,UTR202601110001
STL0000038,pay0000000026,ORD0000038,payment,1929.01,38.58,6.94,1883.49,netbanking,2026-01-10,UTR202601100001
STL0000039,pay0000000027,ORD0000039,payment,8980.46,179.61,32.33,8768.52,wallet,2026-01-21,UTR202601210001
STL0000040,pay0000000028,ORD0000040,payment,982.93,19.66,3.54,959.73,netbanking,2026-01-27,UTR202601270001
STL0000041,pay0000000029,ORD0000041,payment,9071.51,181.43,32.66,8857.42,upi,2026-01-15,UTR202601150001
STL0000042,pay000000002a,ORD0000042,payment,2785.85,55.72,10.03,2720.10,wallet,2026-01-28,UTR202601280001
STL0000043,pay000000002b,ORD0000043,payment,5108.11,102.16,18.39,4987.56,upi,2026-01-06,UTR202601060001
STL0000044,pay000000002c,ORD0000044,payment,5690.32,113.81,20.49,5556.02,wallet,2026-01-03,UTR202601030001
STL0000045,pay000000002d,ORD0000045,payment,9645.47,192.91,34.72,9417.84,upi,2026-01-20,UTR202601200001
STL0000046,pay000000002e,ORD0000046,payment,723.49,14.47,2.60,706.42,netbanking,2026-01-21,UTR202601210001
STL0000046X,,,adjustment,166.35,0.00,0.00,166.35,netbanking,2026-01-21,UTR202601210001
STL0000047,pay000000002f,ORD0000047,payment,6075.40,121.51,21.87,5932.02,netbanking,2026-01-21,UTR202601210001
STL0000048,pay0000000030,ORD0000048,payment,5931.83,118.64,21.36,5791.83,card_debit,2026-01-19,UTR202601190001
STL0000049,pay0000000031,ORD0000049,payment,3299.45,65.99,11.88,3221.58,card_credit,2026-01-09,UTR202601090001
STL0000050,pay0000000032,ORD0000050,payment,9746.46,194.93,35.09,9516.44,wallet,2026-01-27,UTR202601270001
STL0000051,pay0000000033,ORD0000051,payment,1053.37,21.07,3.79,1028.51,card_debit,2026-01-05,UTR202601050001
STL0000052,pay0000000034,ORD0000052,payment,9241.53,184.83,33.27,9023.43,card_debit,2026-01-05,UTR202601050001
STL0000053,pay0000000035,ORD0000053,payment,5701.05,114.02,20.52,5566.51,wallet,2026-01-26,UTR202601260001
STL0000053X,,,chargeback,-201.20,0.00,0.00,-201.20,wallet,2026-01-26,UTR202601260001
STL0000055,pay0000000037,ORD0000055,payment,5805.97,116.12,20.90,5668.95,card_debit,2026-01-08,UTR202601080001
STL0000056,pay0000000038,ORD0000056,payment,2139.87,42.80,7.70,2089.37,card_credit,2026-01-24,UTR202601240001
STL0000057,pay0000000039,ORD0000057,payment,8877.04,280.51,31.96,8564.57,card_credit,2026-01-04,UTR202601040001
STL0000058,pay000000003a,ORD0000058,payment,6685.61,133.71,24.07,6527.83,wallet,2026-01-11,UTR202601110001
STL0000059,pay000000003b,ORD0000059,payment,5886.53,117.73,21.19,5747.61,card_debit,2026-01-04,UTR202601040001
STL0000060,pay000000003c,ORD0000060,payment,8756.36,175.13,31.52,8549.71,upi,2026-01-13,UTR202601130001
STL0000061,pay000000003d,ORD0000061,payment,9431.50,188.63,33.95,9208.92,card_debit,2026-01-28,UTR202601280001
STL0000062,pay000000003e,ORD0000062,payment,6998.30,139.97,25.19,6833.14,netbanking,2026-01-07,UTR202601070001
STL0000063,pay000000003f,ORD0000063,payment,7863.84,157.28,28.31,7678.25,card_debit,2026-01-06,UTR202601060001
STL0000064,pay0000000040,ORD0000064,payment,264.90,5.30,0.95,258.65,card_debit,2026-01-08,UTR202601080001
STL0000065,pay0000000041,ORD0000065,payment,8261.22,165.22,29.74,8066.26,netbanking,2026-01-24,UTR202601240001
STL0000066,pay0000000042,ORD0000066,payment,8567.53,171.35,30.84,8365.34,card_debit,2026-01-16,UTR202601160001
STL0000067,pay0000000043,ORD0000067,payment,3447.07,68.94,12.41,3365.72,card_credit,2026-01-11,UTR202601110001
STL0000068,pay0000000044,ORD0000068,payment,4195.93,83.92,15.11,4096.90,card_credit,2026-01-23,UTR202601230001
STL0000069,pay0000000045,ORD0000069,payment,2788.61,55.77,10.04,2722.80,card_credit,2026-01-04,UTR202601040001
STL0000070,pay0000000046,ORD0000070,payment,3294.14,65.88,11.86,3216.40,wallet,2026-01-16,UTR202601160001
STL0000071,pay0000000047,ORD0000071,payment,470.42,9.41,1.69,459.32,wallet,2026-01-26,UTR202601260001
STL0000072,pay0000000048,ORD0000072,payment,9864.37,197.29,35.51,9631.57,upi,2026-01-26,UTR202601260001
STL0000073,pay0000000049,ORD0000073,payment,9659.98,193.20,34.78,9432.00,card_credit,2026-01-12,UTR202601120001
STL0000074,pay000000004a,ORD0000074,payment,6997.87,139.96,25.19,6832.72,card_credit,2026-01-17,UTR202601170001
STL0000075,pay000000004b,ORD0000075,payment,2016.58,40.33,7.26,1968.99,card_debit,2026-01-17,UTR202601170001
STL0000076,pay000000004c,ORD0000076,payment,3160.68,63.21,11.38,3086.09,card_debit,2026-01-15,UTR202601150001
STL0000077,pay000000004d,ORD0000077,payment,6086.58,121.73,21.91,5942.94,netbanking,2026-01-22,UTR202601220001
STL0000078,pay000000004e,ORD0000078,payment,5365.04,107.30,19.31,5238.43,card_credit,2026-01-17,UTR202601170001
STL0000079,pay000000004f,ORD0000079,payment,6641.86,132.84,23.91,6485.11,card_credit,2026-01-21,UTR202601210001
STL0000080,pay0000000050,ORD0000080,payment,2093.02,41.86,7.53,2043.63,netbanking,2026-01-06,UTR202601060001
STL0000081,pay0000000051,ORD0000081,payment,8063.19,161.26,29.03,7872.90,wallet,2026-01-06,UTR202601060001
STL0000082,pay0000000052,ORD0000082,payment,7306.80,146.14,26.31,7134.35,card_debit,2026-01-14,UTR202601140001
STL0000083,pay0000000053,ORD0000083,payment,63.14,1.26,0.23,61.65,card_debit,2026-01-27,UTR202601270001
STL0000084,pay0000000054,ORD0000084,payment,7302.16,146.04,26.29,7129.83,card_debit,2026-01-20,UTR202601200001
STL0000085,pay0000000055,ORD0000085,payment,1277.53,25.55,4.60,1247.38,wallet,2026-01-17,UTR202601170001
STL0000086,pay0000000056,ORD0000086,payment,6248.77,124.98,22.50,6101.29,wallet,2026-01-14,UTR202601140001
STL0000087,pay0000000057,ORD0000087,payment,9514.06,190.28,34.25,9289.53,netbanking,2026-01-19,UTR202601190001
STL0000088,pay0000000058,ORD0000088,payment,7887.95,157.76,28.40,7701.79,netbanking,2026-01-11,UTR202601110001
STL0000089,pay0000000059,ORD0000089,payment,2884.36,57.69,10.38,2816.29,card_debit,2026-01-17,UTR202601170001
STL0000090,pay000000005a,ORD0000090,payment,3357.39,67.15,12.09,3278.15,card_debit,2026-01-19,UTR202601190001
STL0000091,pay000000005b,ORD0000091,payment,1607.27,32.15,5.79,1569.33,netbanking,2026-01-25,UTR202601250001
STL0000092,pay000000005c,ORD0000092,payment,4890.57,97.81,17.61,4775.15,netbanking,2026-01-16,UTR202601160001
STL0000093,pay000000005d,ORD0000093,payment,6129.51,122.59,22.07,5984.85,netbanking,2026-01-26,UTR202601260001
STL0000094,pay000000005e,ORD0000094,payment,9890.36,197.81,35.61,9656.94,netbanking,2026-01-14,UTR202601140001
STL0000095,pay000000005f,ORD0000095,payment,7708.19,154.16,27.75,7526.28,card_credit,2026-01-19,UTR202601190001
STL0000096,pay0000000060,ORD0000096,payment,309.34,6.19,1.11,302.04,netbanking,2026-01-16,UTR202601160001
STL0000097,pay0000000061,ORD0000097,payment,8818.34,176.37,31.75,8610.22,upi,2026-01-18,UTR202601180001
STL0000098,pay0000000062,ORD0000098,payment,6211.44,124.23,22.36,6064.85,netbanking,2026-01-22,UTR202601220001
STL0000099,pay0000000063,ORD0000099,payment,4846.25,96.93,17.45,4731.87,card_credit,2026-01-08,UTR202601080001
STL0000100,pay0000000064,ORD0000100,payment,3432.22,68.64,12.36,3351.22,card_credit,2026-01-13,UTR202601130001
STL0000101,pay0000000065,ORD0000101,payment,4936.52,98.73,17.77,4820.02,upi,2026-01-02,UTR202601020001
STL0000102,pay0000000066,ORD0000102,payment,6839.14,136.78,24.62,6677.74,upi,2026-01-03,UTR202601030001
STL0000103,pay0000000067,ORD0000103,payment,2506.32,50.13,9.02,2447.17,wallet,2026-01-06,UTR202601060001
STL0000104,pay0000000068,ORD0000104,payment,4881.23,97.62,17.57,4766.04,card_debit,2026-01-25,UTR202601250001
STL0000105,pay0000000069,ORD0000105,payment,7847.56,156.95,28.25,7662.36,card_credit,2026-01-24,
STL0000106,pay000000006a,ORD0000106,payment,3276.10,65.52,11.79,3198.79,card_debit,2026-01-22,UTR202601220001
STL0000106X,,,refund,-416.06,0.00,0.00,-416.06,card_debit,2026-01-22,UTR202601220001
STL0000107,pay000000006b,ORD0000107,payment,2551.46,51.03,9.19,2491.24,wallet,2026-01-07,UTR202601070001
STL0000108,pay000000006c,ORD0000108,payment,8354.04,167.08,30.07,8156.89,netbanking,2026-01-22,UTR202601220001
STL0000109,,,payment,728.06,14.56,2.62,710.88,netbanking,2026-01-19,UTR202601190001
STL0000110,pay000000006e,ORD0000110,payment,6669.59,133.39,24.01,6512.19,netbanking,2026-01-28,UTR202601280001
STL0000111,pay000000006f,ORD0000111,payment,5475.91,109.52,19.71,5346.68,netbanking,2026-01-24,UTR202601240001
STL0000112,pay0000000070,ORD0000112,payment,8663.45,173.27,31.19,8458.99,upi,2026-01-25,UTR202601250001
STL0000113,pay0000000071,ORD0000113,payment,4732.00,94.64,17.04,4620.32,netbanking,2026-01-11,UTR202601110001
STL0000114,pay0000000072,ORD0000114,payment,5188.17,103.76,18.68,5065.73,card_credit,2026-01-12,UTR202601120001
STL0000115,pay0000000073,ORD0000115,payment,3573.71,71.47,12.86,3489.38,wallet,2026-01-10,UTR202601100001
STL0000116,pay0000000074,ORD0000116,payment,902.71,18.05,3.25,881.41,card_debit,2026-01-11,UTR202601110001
STL0000117,pay0000000075,ORD0000117,payment,6777.78,135.56,24.40,6617.82,upi,2026-01-24,UTR202601240001
STL0000118,pay0000000076,ORD0000118,payment,4245.45,84.91,15.28,4145.26,wallet,2026-01-26,UTR202601260001
STL0000119,pay0000000077,ORD0000119,payment,5808.58,116.17,20.91,5671.50,wallet,2026-01-20,UTR202601200001
STL0000120,pay0000000078,ORD0000120,payment,7374.96,147.50,26.55,7200.91,card_debit,2026-01-17,UTR202601170001
STL0000121,pay0000000079,ORD0000121,payment,2024.39,40.49,7.29,1976.61,card_debit,2026-01-14,UTR202601140001
STL0000122,pay000000007a,ORD0000122,payment,7749.83,155.00,27.90,7566.93,wallet,2026-01-19,UTR202601190001
STL0000123,pay000000007b,ORD0000123,payment,1059.09,21.18,3.81,1034.10,card_credit,2026-01-28,UTR202601280001
STL0000124,pay000000007c,ORD0000124,payment,153.35,3.07,0.55,149.73,upi,2026-01-24,UTR202601240001
STL0000125,pay000000007d,ORD0000125,payment,7317.95,146.36,26.34,7145.25,wallet,2026-01-06,UTR202601060001
STL0000126,pay000000007e,ORD0000126,payment,5024.68,100.49,18.09,4906.10,card_credit,2026-01-16,UTR202601160001
STL0000127,pay000000007f,ORD0000127,payment,5014.35,100.29,18.05,4896.01,upi,2026-01-06,UTR202601060001
STL0000128,pay0000000080,ORD0000128,payment,7202.96,144.06,25.93,7032.97,card_credit,2026-01-05,UTR202601050001
STL0000129,pay0000000081,ORD0000129,payment,5856.81,117.14,21.09,5718.58,wallet,2026-01-28,UTR202601280001
STL0000130,pay0000000082,ORD0000130,payment,5484.57,109.69,19.74,5355.14,card_credit,2026-01-15,UTR202601150001
STL0000131,pay0000000083,ORD0000131,payment,4501.60,90.03,16.21,4395.36,upi,2026-01-13,UTR202601130001
STL0000132,pay0000000084,ORD0000132,payment,2183.81,43.68,7.86,2132.27,upi,2026-01-24,UTR202601240001
STL0000133,pay0000000085,ORD0000133,payment,1827.56,36.55,6.58,1784.43,netbanking,2026-01-19,UTR202601190001
STL0000134,pay0000000086,ORD0000134,payment,6231.56,124.63,22.43,6084.50,card_credit,2026-01-17,UTR202601170001
STL0000135,pay0000000087,ORD0000135,payment,7376.35,147.53,26.56,7202.26,card_credit,2026-01-16,UTR202601160001
STL0000136,pay0000000088,ORD0000136,payment,6559.20,131.18,23.61,6404.41,wallet,2026-01-20,UTR202601200001
STL0000137,pay0000000089,ORD0000137,payment,1567.26,31.35,5.64,1530.27,card_debit,2026-01-10,UTR202601100001
STL0000138,pay000000008a,ORD0000138,payment,6244.48,124.89,22.48,6097.11,netbanking,2026-01-25,UTR202601250001
STL0000139,pay000000008b,ORD0000139,payment,7342.23,146.84,26.43,7168.96,netbanking,2026-01-16,UTR202601160001
STL0000140,pay000000008c,ORD0000140,payment,6275.86,125.52,22.59,6127.75,wallet,2026-01-04,UTR202601040001
STL0000141,pay000000008d,ORD0000141,payment,962.63,19.25,3.47,939.91,card_credit,2026-01-11,UTR202601110001
STL0000142,pay000000008e,ORD0000142,payment,8006.77,160.14,28.83,7817.80,netbanking,2026-01-28,UTR202601280001
STL0000143,pay000000008f,ORD0000143,payment,1908.05,38.16,6.87,1863.02,upi,2026-01-21,UTR202601210001
STL0000144,pay0000000090,ORD0000144,payment,4286.84,85.74,15.43,4185.67,card_debit,2026-01-12,UTR202601120001
STL0000146,pay0000000092,ORD0000146,payment,2651.59,53.03,9.55,2589.01,wallet,2026-01-13,UTR202601130001
STL0000147,pay0000000093,ORD0000147,payment,17.06,0.34,0.06,16.66,card_debit,2026-01-23,UTR202601230001
STL0000148,pay0000000094,ORD0000148,payment,6533.78,130.68,23.52,6379.58,upi,2026-01-27,UTR202601270001
STL0000149,pay0000000095,ORD0000149,payment,5763.98,115.28,20.75,5627.95,netbanking,2026-01-08,UTR202601080001
STL0000150,pay0000000096,ORD0000150,payment,6611.26,132.23,23.80,6455.23,card_credit,2026-01-21,UTR202601210001
STL0000151,pay0000000097,ORD0000151,payment,5795.77,115.92,20.87,5658.98,netbanking,2026-01-15,UTR202601150001
STL0000152,pay0000000098,ORD0000152,payment,6796.72,135.93,24.47,6636.32,card_credit,2026-01-30,UTR202601300001
STL0000153,pay0000000099,ORD0000153,payment,2872.06,57.44,10.34,2804.28,netbanking,2026-01-15,UTR202601150001
STL0000154,pay000000009a,ORD0000154,payment,4027.19,80.54,14.50,3932.15,upi,2026-01-08,UTR202601080001
STL0000155,pay000000009b,ORD0000155,payment,8288.81,165.78,29.84,8093.19,card_credit,2026-01-17,UTR202601170001
STL0000156,pay000000009c,ORD0000156,payment,2970.78,59.42,10.70,2900.66,wallet,2026-01-27,UTR202601270001
STL0000157,pay000000009d,ORD0000157,payment,5139.25,102.79,18.50,5017.96,card_credit,2026-01-07,UTR202601070001
STL0000158,pay000000009e,ORD0000158,payment,8004.29,160.09,28.82,7815.38,card_debit,2026-01-20,UTR202601200001
STL0000159,pay000000009f,ORD0000159,payment,2509.05,50.18,9.03,2449.84,upi,2026-01-21,UTR202601210001
STL0000160,pay00000000a0,ORD0000160,payment,4964.51,99.29,17.87,4847.35,card_debit,2026-01-26,UTR202601260001
STL0000161,pay00000000a1,ORD0000161,payment,393.17,7.86,1.41,383.90,upi,2026-01-07,UTR202601070001
STL0000162,pay00000000a2,ORD0000162,payment,4621.94,92.44,16.64,4512.86,upi,2026-01-06,UTR202601060001
STL0000163,pay00000000a3,ORD0000163,payment,4303.93,86.08,15.49,4202.36,card_credit,2026-01-23,UTR202601230001
STL0000164,pay00000000a4,ORD0000164,payment,7268.53,145.37,26.17,7096.99,wallet,2026-01-15,UTR202601150001
STL0000165,pay00000000a5,ORD0000165,payment,3325.43,66.51,11.97,3246.95,upi,2026-01-24,UTR202601240001
STL0000166,pay00000000a6,ORD0000166,payment,2466.74,49.33,8.88,2408.53,upi,2026-01-24,UTR202601240001
STL0000167,pay00000000a7,ORD0000167,payment,1037.25,20.75,3.74,1012.76,card_credit,2026-01-26,UTR202601260001
STL0000168,pay00000000a8,ORD0000168,payment,487.25,9.75,1.76,475.74,card_credit,2026-01-13,UTR202601130001
STL0000169,pay00000000a9,ORD0000169,payment,2565.59,51.31,9.24,2505.04,card_debit,2026-01-20,UTR202601200001
STL0000170,pay00000000aa,ORD0000170,payment,833.04,16.66,3.00,813.38,card_debit,2026-01-23,UTR202601230001
STL0000171,pay00000000ab,ORD0000171,payment,6119.84,122.40,22.03,5975.41,card_credit,2026-01-08,UTR202601080001
STL0000172,pay00000000ac,ORD0000172,payment,6997.33,139.95,25.19,6832.19,wallet,2026-01-03,UTR202601030001
STL0000173,pay00000000ad,ORD0000173,payment,4636.87,92.74,16.69,4527.44,card_credit,2026-01-14,UTR202601140001
STL0000174,pay00000000ae,ORD0000174,payment,3172.97,63.46,11.42,3098.09,upi,2026-01-09,UTR202601090001
STL0000175,pay00000000af,ORD0000175,payment,6002.04,120.04,21.61,5860.39,upi,2026-01-14,UTR202601140001
STL0000176,pay00000000b0,ORD0000176,payment,6907.03,138.14,24.87,6744.02,upi,2026-01-16,UTR202601160001
STL0000177,pay00000000b1,ORD0000177,payment,7818.69,156.37,28.15,7634.17,wallet,2026-01-17,UTR202601170001
STL0000178,pay00000000b2,ORD0000178,payment,2301.42,46.03,8.29,2247.10,card_debit,2026-01-23,UTR202601230001
STL0000179,pay00000000b3,ORD0000179,payment,9477.87,189.56,34.12,9254.19,upi,2026-01-23,UTR202601230001
STL0000180,pay00000000b4,ORD0000180,payment,7684.34,153.69,27.66,7502.99,card_credit,2026-01-07,UTR202601070001
STL0000181,pay00000000b5,ORD0000181,payment,1846.71,36.93,6.65,1803.13,card_credit,2026-01-10,UTR202601100001
STL0000182,pay00000000b6,ORD0000182,payment,9583.60,191.67,34.50,9357.43,card_credit,2026-01-11,UTR202601110001
STL0000183,pay00000000b7,ORD0000183,payment,3556.68,71.13,12.80,3472.75,card_debit,2026-01-27,UTR202601270001
STL0000184,pay00000000b8,ORD0000184,payment,2370.74,91.27,8.53,2270.94,card_credit,2026-01-25,UTR202601250001
STL0000185,pay00000000b9,ORD0000185,payment,5631.36,112.63,20.27,5498.46,card_credit,2026-01-07,UTR202601070001
STL0000186,pay00000000ba,ORD0000186,payment,8628.67,172.57,31.06,8425.04,card_debit,2026-01-24,UTR202601240001
STL0000187,pay00000000bb,ORD0000187,payment,6501.41,130.03,23.41,6347.97,card_debit,2026-01-21,UTR202601210001
STL0000188,pay00000000bc,ORD0000188,payment,6667.69,133.35,24.00,6510.34,card_credit,2026-01-30,UTR202601300001
STL0000189,pay00000000bd,ORD0000189,payment,1228.43,24.57,4.42,1199.44,netbanking,2026-01-07,UTR202601070001
STL0000190,pay00000000be,ORD0000190,payment,5641.58,112.83,20.31,5508.44,wallet,2026-01-07,UTR202601070001
STL0000191,pay00000000bf,ORD0000191,payment,7788.25,155.77,28.04,7604.44,upi,2026-01-26,UTR202601260001
STL0000192,pay00000000c0,ORD0000192,payment,6460.58,129.21,23.26,6308.11,card_credit,2026-01-17,UTR202601170001
STL0000193,pay00000000c1,ORD0000193,payment,4667.97,93.36,16.80,4557.81,card_credit,2026-01-11,UTR202601110001
STL0000194,pay00000000c2,ORD0000194,payment,6766.49,135.33,24.36,6606.80,card_debit,2026-01-14,UTR202601140001
STL0000195,pay00000000c3,ORD0000195,payment,9956.09,199.12,35.84,9721.13,card_debit,2026-01-30,UTR202601300001
STL0000196,pay00000000c4,ORD0000196,payment,6266.52,125.33,22.56,6118.63,card_debit,2026-01-03,UTR202601030001
STL0000197,pay00000000c5,ORD0000197,payment,8257.06,165.14,29.73,8062.19,card_debit,2026-01-22,UTR202601220001
STL0000198,pay00000000c6,ORD0000198,payment,8530.47,170.61,30.71,8329.15,wallet,2026-01-09,UTR202601090001
STL0000198X,,,adjustment,99.82,0.00,0.00,99.82,wallet,2026-01-09,UTR202601090001
STL0000199,pay00000000c7,ORD0000199,payment,1368.06,27.36,4.92,1335.78,upi,2026-01-19,UTR202601190001
STL0000200,pay00000000c8,ORD0000200,payment,275.32,5.51,0.99,268.82,wallet,2026-01-06,UTR202601060001
STL0000201,pay00000000c9,ORD0000201,payment,1832.10,36.64,6.60,1788.86,netbanking,2026-01-12,UTR202601120001
STL0000202,pay00000000ca,ORD0000202,payment,7823.86,156.48,28.17,7639.21,wallet,2026-01-05,UTR202601050001
STL0000203,pay00000000cb,ORD0000203,payment,4744.62,94.89,17.08,4632.65,wallet,2026-01-18,UTR202601180001
STL0000204,pay00000000cc,ORD0000204,payment,6750.91,135.02,24.30,6591.59,netbanking,2026-01-03,UTR202601030001
STL0000205,pay00000000cd,ORD0000205,payment,5145.84,102.92,18.53,5024.39,card_credit,2026-01-24,UTR202601240001
STL0000206,pay00000000ce,ORD0000206,payment,693.72,13.87,2.50,677.35,wallet,2026-01-08,UTR202601080001
STL0000207,pay00000000cf,ORD0000207,payment,3414.81,68.30,12.29,3334.22,wallet,2026-01-15,UTR202601150001
STL0000208,pay00000000d0,ORD0000208,payment,1044.96,20.90,3.76,1020.30,wallet,2026-01-29,UTR202601290001
STL0000209,pay00000000d1,ORD0000209,payment,2259.68,45.19,8.13,2206.36,netbanking,2026-01-15,UTR202601150001
STL0000210,pay00000000d2,ORD0000210,payment,4760.28,95.21,17.14,4647.93,card_credit,2026-01-14,UTR202601140001
STL0000211,pay00000000d3,ORD0000211,payment,6979.16,139.58,25.12,6814.46,netbanking,2026-01-12,UTR202601120001
STL0000211X,,,chargeback,-66.09,0.00,0.00,-66.09,netbanking,2026-01-12,UTR202601120001
STL0000212,,,payment,4533.55,90.67,16.32,4426.56,wallet,2026-01-05,UTR202601050001
STL0000213,pay00000000d5,ORD0000213,payment,5894.67,117.89,21.22,5755.56,netbanking,2026-01-13,UTR202601130001
STL0000214A,pay00000000d6,ORD0000214,payment,4539.52,90.79,16.34,4432.39,card_credit,2026-01-04,UTR202601040001
STL0000214B,pay00000000d6,ORD0000214,payment,3026.34,60.53,10.90,2954.91,card_credit,2026-01-04,UTR202601040001
STL0000215,pay00000000d7,ORD0000215,payment,1627.46,32.55,5.86,1589.05,card_credit,2026-01-23,UTR202601230001
STL0000216,pay00000000d8,ORD0000216,payment,3859.15,77.18,13.89,3768.08,netbanking,2026-01-05,UTR202601050001
STL0000217,pay00000000d9,ORD0000217,payment,8078.42,161.57,29.08,7887.77,card_credit,2026-01-30,UTR202601300001
STL0000218,pay00000000da,ORD0000218,payment,3685.74,73.71,13.27,3598.76,wallet,2026-01-02,UTR202601020001
STL0000219,pay00000000db,ORD0000219,payment,734.65,14.69,2.64,717.32,wallet,2026-01-08,UTR202601080001
STL0000220,pay00000000dc,ORD0000220,payment,4407.26,88.15,15.87,4303.24,card_credit,2026-01-17,UTR202601170001
STL0000221,pay00000000dd,ORD0000221,payment,8150.71,163.01,29.34,7958.36,card_debit,2026-01-20,UTR202601200001
STL0000222,pay00000000de,ORD0000222,payment,6483.50,129.67,23.34,6330.49,netbanking,2026-01-04,UTR202601040001
STL0000223,pay00000000df,ORD0000223,payment,4640.16,92.80,16.70,4530.66,upi,2026-01-17,UTR202601170001
STL0000224,pay00000000e0,ORD0000224,payment,1167.76,64.93,4.20,1098.63,card_credit,2026-01-13,UTR202601130001
STL0000225,pay00000000e1,ORD0000225,payment,579.43,11.59,2.09,565.75,card_debit,2026-01-02,UTR202601020001
STL0000226,pay00000000e2,ORD0000226,payment,3040.07,60.80,10.94,2968.33,netbanking,2026-01-13,UTR202601130001
