value_date,narration,utr_extracted,credit,debit,balance
2026-01-23,NEFT CR UTR202601230001 SETTLEMENT,UTR202601230001,930797.78,0.00,
2026-01-24,NEFT CR UNKNOWN ORPHAN00023,,1664.64,0.00,
2026-01-24,NEFT CR UTR202601240001 SETTLEMENT,UTR202601240001,1027715.96,0.00,
2026-01-25,NEFT CR UNKNOWN ORPHAN00024,,1465.63,0.00,
2026-01-25,NEFT CR UTR202601250001 SETTLEMENT,UTR202601250001,938586.26,0.00,
2026-01-26,NEFT CR UNKNOWN ORPHAN00025,,1558.21,0.00,
2026-01-26,NEFT CR UTR202601260001 SETTLEMENT,UTR202601260001,867018.60,0.00,
2026-01-27,NEFT CR UNKNOWN ORPHAN00026,,850.85,0.00,
2026-01-27,NEFT CR UTR202601270001 SETTLEMENT,UTR202601270001,947397.16,0.00,
2026-01-28,NEFT CR UNKNOWN ORPHAN00027,,557.44,0.00,
2026-01-28,NEFT CR UTR202601280001 SETTLEMENT,UTR202601280001,886573.99,0.00,
2026-01-29,NEFT CR UNKNOWN ORPHAN00028,,636.70,0.00,
2026-01-29,NEFT CR UTR202601290001 SETTLEMENT,UTR202601280001,517322.26,0.00,
2026-01-30,NEFT CR UNKNOWN ORPHAN00029,,1184.97,0.00,
2026-01-30,NEFT CR UTR202601300001 SETTLEMENT,UTR202601300001,306044.49,0.00,
2026-01-31,NEFT CR UNKNOWN ORPHAN00030,,1019.73,0.00,
2026-02-01,NEFT CR UNKNOWN ORPHAN00031,,1474.37,0.00,
2026-02-02,NEFT CR UNKNOWN ORPHAN00032,,688.60,0.00,
2026-02-03,NEFT CR UNKNOWN ORPHAN00033,,312.26,0.00,
2026-02-04,NEFT CR UNKNOWN ORPHAN00034,,1991.95,0.00,
2026-02-05,NEFT CR UNKNOWN ORPHAN00035,,1471.06,0.00,
2026-02-06,NEFT CR UNKNOWN ORPHAN00036,,1198.94,0.00,
2026-02-07,NEFT CR UNKNOWN ORPHAN00037,,1068.30,0.00,
2026-02-08,NEFT CR UNKNOWN ORPHAN00038,,1209.32,0.00,
2026-02-09,NEFT CR UNKNOWN ORPHAN00039,,1228.41,0.00,
2026-02-10,NEFT CR UNKNOWN ORPHAN00040,,1759.10,0.00,
2026-02-11,NEFT CR UNKNOWN ORPHAN00041,,1151.85,0.00,
2026-02-12,NEFT CR UNKNOWN ORPHAN00042,,168.96,0.00,
2026-02-13,NEFT CR UNKNOWN ORPHAN00043,,34.61,0.00,
2026-02-14,NEFT CR UNKNOWN ORPHAN00044,,1026.52,0.00,
2026-02-15,NEFT CR UNKNOWN ORPHAN00045,,743.51,0.00,
2026-02-16,NEFT CR UNKNOWN ORPHAN00046,,598.35,0.00,
2026-02-17,NEFT CR UNKNOWN ORPHAN00047,,823.07,0.00,
2026-02-18,NEFT CR UNKNOWN ORPHAN00048,,860.91,0.00,
2026-02-19,NEFT CR UNKNOWN ORPHAN00049,,1729.80,0.00,
2026-02-20,NEFT CR UNKNOWN ORPHAN00050,,1882.77,0.00,
